チーム	試合	勝利	敗戦	引分	勝率	残試合	得点	失点	本塁打	盗塁	打率	防御率
広島	109	67	38	4	0.638	34	579	416	117	89	0.276	3.36
阪神	105	56	48	1	0.538	38	419	396	73	46	0.246	3.34
ＤｅＮＡ	105	53	48	4	0.525	38	445	437	93	32	0.254	3.73
巨人	106	51	54	1	0.486	37	392	391	83	47	0.25	3.46
中日	108	46	57	5	0.447	35	368	463	82	64	0.25	3.88
ヤクルト	107	36	69	2	0.343	36	369	497	73	39	0.237	4.28
ソフトバンク	108	71	37	0	0.657	35	484	369	124	62	0.263	3.24
楽天	99	63	35	1	0.643	44	448	376	108	29	0.263	3.45
西武	105	62	41	2	0.602	38	527	378	115	90	0.265	3.33
オリックス	104	46	57	1	0.447	39	378	418	90	16	0.254	3.65
日本ハム	103	36	67	0	0.35	40	350	462	77	61	0.239	4.12
ロッテ	103	33	69	1	0.324	40	330	486	53	38	0.226	4.44